,Brands,Model,Processor,RAM,ROM,Battery,Screen_Size,Prices
299,Samsung,Galaxy,65.0,4,64,5299,10.28,111999
300,Xiaomi,Mi,3.2,6,128,10090,10.95,28448
301,Realme,Pad,2.0,6,128,8720,10.9,16490
302,Samsung,Galaxy,2.84,4,64,8200,10.4,32999
303,Xiaomi,Mi,84.0,4,64,7040,14.6,29107
304,Samsung,Galaxy,2.96,4,128,8000,10.95,25999
305,Motorola,Moto,96.0,6,128,8000,10.2,19999
306,Lenovo,Tab,2.3,4,64,5299,10.28,23999
307,Xiaomi,Redmi,3.0,4,64,7100,12.4,19499
308,Realme,Pad,2.2,4,64,8040,10.36,25999
309,Apple,iPad,2.0,4,64,7040,10.4,28990
310,Xiaomi,Mi,2.2,8,128,8040,10.61,39999
311,OnePlus,Pad,2.0,3,32,7100,10.61,39999
312,Xiaomi,Mi,2.2,6,128,8340,10.4,29107
313,Nokia,T21,2.0,6,256,8720,10.58,18999
314,Samsung,Galaxy,3.2,6,64,7100,10.5,25999
315,Xiaomi,Redmi,2.0,6,128,8720,10.4,16999
316,Xiaomi,Redmi,2.2,4,64,5299,10.28,19499
317,Realme,Pad,2.0,4,64,5299,10.28,16490
318,Samsung,Galaxy,2.96,12,128,11200,10.95,22990
319,Samsung,Galaxy,96.0,4,256,8340,10.9,20999
320,Vivo,Pad,3.2,8,64,8600,10.4,28990
321,Realme,Pad,2.2,4,64,5299,10.28,14999
322,Realme,Pad,2.0,6,64,10090,14.6,27999
323,Xiaomi,Mi,2.2,4,64,5299,10.28,28448
324,Apple,iPad,2.2,4,256,5299,10.28,62900
325,Realme,Pad,2.0,6,128,8720,10.95,19999
326,Xiaomi,Pad,2.65,4,128,8200,10.2,34999
327,Samsung,Galaxy,65.0,4,64,5299,10.28,111999
328,Xiaomi,Mi,3.2,4,64,5299,10.28,28448
329,Realme,Pad,2.0,4,64,5299,10.28,16490
330,Samsung,Galaxy,2.84,4,64,7040,12.4,32999
331,Xiaomi,Mi,84.0,4,128,8000,10.36,29107
332,Samsung,Galaxy,2.96,6,128,8000,10.4,25999
333,Motorola,Moto,96.0,4,64,7100,10.61,19999
334,Lenovo,Tab,2.3,4,64,5299,10.28,23999
335,Xiaomi,Redmi,3.0,4,64,5299,10.28,19499
336,Realme,Pad,2.2,4,64,5299,10.28,25999
337,Apple,iPad,2.0,4,64,8040,10.61,28990
338,Xiaomi,Mi,2.2,4,128,7040,10.4,39999
339,OnePlus,Pad,2.0,8,32,8040,10.58,39999
340,Xiaomi,Mi,2.2,4,64,5299,10.28,29107
341,Nokia,T21,2.0,3,128,7100,10.5,18999
342,Samsung,Galaxy,3.2,4,64,5299,10.28,25999
343,Xiaomi,Redmi,2.0,4,256,5299,10.28,16999
344,Xiaomi,Redmi,2.2,4,64,5299,10.28,19499
345,Realme,Pad,2.0,6,64,8340,10.4,16490
346,Samsung,Galaxy,2.2,4,64,5299,10.28,22990
347,Samsung,Galaxy,2.96,4,64,5299,10.28,20999
348,Vivo,Pad,96.0,6,128,8720,10.95,28990
349,Realme,Pad,3.2,4,128,5299,10.28,14999
350,Realme,Pad,2.0,4,64,5299,10.28,27999
351,Xiaomi,Mi,2.2,4,256,5299,10.28,28448
352,Apple,iPad,2.0,4,64,5299,10.28,62900
353,Realme,Pad,2.65,6,64,7100,10.9,19999
354,Xiaomi,Pad,65.0,4,64,5299,10.28,34999
355,Samsung,Galaxy,3.2,6,256,8720,10.4,111999
356,Xiaomi,Mi,2.0,12,128,11200,14.6,28448
357,Realme,Pad,2.84,4,64,5299,10.28,16490
358,Samsung,Galaxy,84.0,4,128,8340,10.95,32999
359,Xiaomi,Mi,2.96,4,64,5299,10.28,29107
360,Samsung,Galaxy,96.0,8,64,8600,10.2,25999
361,Motorola,Moto,2.3,4,64,5299,10.28,19999
362,Lenovo,Tab,3.0,6,64,10090,12.4,23999
363,Xiaomi,Redmi,2.2,4,64,5299,10.28,19499
364,Realme,Pad,2.0,4,64,5299,10.28,25999
365,Apple,iPad,2.2,4,64,5299,10.28,28990
366,Xiaomi,Mi,2.0,6,128,8720,10.36,39999
367,OnePlus,Pad,2.2,4,128,8200,10.4,39999
