,Brands,Model,Colors,RAM,ROM,Battery,Screen_Size,Prices
280,Wishtel,IRA,Bl...,4,64,5000,25.4,8000
281,Swipe,Slate,Glacier Blue),3,32,5000,25.65,10999
282,Lenovo,82MA001VIN,Slate Grey),2,64,2685,33.02,85500
283,Wishtel,IRA,Bla...,2,256,7000,20.32,11500
284,Swipe,STRIKE,Gold),3,32,5080,17.78,5799
285,APPLE,iPad,6th Gen) 256 GB ROM 8.3 inch with Wi-Fi+5G ,2,64,2685,21.08,71480
286,APPLE,iPad,6th Gen) 256 GB ROM 12.9 inch with Wi-Fi Only ,3,4,6500,32.77,117290
287,APPLE,iPad,10th Gen) 64 GB ROM 10.9 inch with Wi-Fi+5G ,4,32,7000,27.69,57500
288,APPLE,iPad,10th Gen) 64 GB ROM 10.9 inch with Wi-Fi+5G ,2,32,2685,27.69,57500
289,Elevn,eTab,Aluminium Grey),2,64,2685,25.65,15999
290,Contixo,Kids,Pink),2,64,5250,17.78,5799
291,I,Kall,"Blue, 64 GB)",3,32,4020,16.51,7779
292,Lenovo,Tab,Storm Grey),3,32,8000,32.0,65999
293,Contixo,Kids,Blue),4,64,6000,17.78,5799
294,Contixo,Kids,Sky Blue),4,64,5020,17.78,5799
295,I,Kall,"Dark Blue, 64 GB)",4,128,5100,15.9,6283
296,Swipe,New,Gold),2,32,5000,25.65,10999
297,Swipe,Slate,Grey),4,32,7000,25.65,11457
298,realme,Pad,Gold),3,32,5080,26.42,11999
299,Lenovo,IdeaPad,16 GB/512 GB SSD/Windows 11 Home) 14ALC7 Thin and Lig...,2,512,5000,35.56,61790
300,APPLE,iPad,5th gen) 64 GB ROM 10.9 Inch with Wi-Fi Only ,3,32,6500,27.69,54900
301,SAMSUNG,Galaxy,Pink),4,32,6000,26.42,24999
302,APPLE,iPad,9th Gen) 64 GB ROM 10.2 inch with Wi-Fi Only ,4,256,3000,25.91,28999
303,I,Kall,"Silver, 8 GB)",2,256,7000,12.7,3999
304,APPLE,iPad,5th gen) 64 GB ROM 10.9 Inch with Wi-Fi Only ,2,64,2685,27.69,54900
